street_number,route,locality-political,postal_code,latitude_longitude
1444,East 32nd Street,Oakland,94602.0,"37.8,-122.23"
1021,Longridge Road,Oakland,94610.0,"37.81,-122.23"
2514,9th Avenue,Oakland,94606.0,"37.8,-122.24"
1901,Park Boulevard,Oakland,94606.0,"37.8,-122.25"
1706,18th Avenue,Oakland,94606.0,"37.79,-122.24"
1126,East 11th Street,Oakland,94606.0,"37.79,-122.25"
2246,23rd Avenue,Oakland,94606.0,"37.79,-122.23"
850,42nd Avenue,Oakland,94601.0,"37.77,-122.22"
400,Lancaster Street,Oakland,94601.0,"37.77,-122.23"
2766,International Boulevard,Oakland,94601.0,"37.78,-122.23"
1664,35th Avenue,Oakland,94601.0,"37.78,-122.22"
2662,Fruitvale Avenue,Oakland,94601.0,"37.79,-122.22"
2634,Humboldt Avenue,Oakland,94602.0,"37.79,-122.21"
3835,Quigley Street,Oakland,94619.0,"37.79,-122.2"
3107,Sylvan Avenue,Oakland,94602.0,"37.8,-122.2"
3548,Monterey Boulevard,Oakland,94619.0,"37.8,-122.19"
3853,High Street,Oakland,94619.0,"37.79,-122.19"
2172,Rosedale Avenue,Oakland,94601.0,"37.78,-122.21"
5901,Coliseum Way,Oakland,94621.0,"37.76,-122.21"
4801,East 14th Street,Oakland,94601.0,"37.77,-122.21"
1817,55th Avenue,Oakland,94621.0,"37.77,-122.2"
2521,61st Avenue,Oakland,94605.0,"37.77,-122.19"
4734,Walnut Street,Oakland,94619.0,"37.78,-122.2"
3216,Madera Avenue,Oakland,94619.0,"37.78,-122.19"
5000,MacArthur Boulevard,Oakland,94613.0,"37.78,-122.18"
4281,Knoll Avenue,Oakland,94619.0,"37.79,-122.18"
411,Creighton Way,Oakland,94619.0,"37.8,-122.18"
29,Graeagle Street,Oakland,94605.0,"37.77,-122.13"
5600,Denton Place,Oakland,94619.0,"37.79,-122.16"
6374,Sunnymere Avenue,Oakland,94605.0,"37.78,-122.17"
7316,Ney Avenue,Oakland,94605.0,"37.77,-122.17"
7833,Greenly Drive,Oakland,94605.0,"37.77,-122.16"
2216,82nd Avenue,Oakland,94605.0,"37.76,-122.17"
1615,78th Avenue,Oakland,94621.0,"37.76,-122.18"
6681,Foothill Boulevard,Oakland,94605.0,"37.77,-122.18"
1225,70th Avenue,Oakland,94621.0,"37.76,-122.19"
971,66th Avenue,Oakland,94621.0,"37.76,-122.2"
,Unnamed Road,Oakland,94621.0,"37.75,-122.2"
810,81st Avenue,Oakland,94621.0,"37.75,-122.19"
8900,Edes Avenue,Oakland,94621.0,"37.74,-122.19"
,,Oakland,94603.0,"37.74,-122.18"
9875,Koford Road,Oakland,94603.0,"37.73,-122.19"
460,105th Avenue,Oakland,94603.0,"37.73,-122.18"
10206,Graffian Street,Oakland,94603.0,"37.74,-122.17"
720,Matoza Lane,San Leandro,94577.0,"37.73,-122.17"
1152,87th Avenue,Oakland,94621.0,"37.75,-122.18"
9222,Plymouth Street,Oakland,94603.0,"37.75,-122.17"
8624,Seneca Street,Oakland,94605.0,"37.76,-122.16"
9721,Hillgrade Court,Oakland,94603.0,"37.75,-122.16"
9201,Crest Avenue,Oakland,94605.0,"37.76,-122.15"
8117,Coach Drive,Oakland,94605.0,"37.77,-122.14"
191,Sequoyah View Drive,Oakland,94605.0,"37.76,-122.14"
320,Elysian Fields Drive,Oakland,94605.0,"37.76,-122.13"
65,Tate Terrace,Oakland,94605.0,"37.75,-122.12"
120,Maggiora Drive,Oakland,94605.0,"37.75,-122.14"
4303,Aberfoil Avenue,Oakland,94605.0,"37.75,-122.13"
,,Oakland,94605.0,"37.74,-122.13"
9777,Golf Links Road,Oakland,94605.0,"37.75,-122.15"
265,Hollister Court,San Leandro,94577.0,"37.74,-122.15"
1939,107th Avenue,Oakland,94603.0,"37.74,-122.16"
145,Carmel Avenue,El Cerrito,94530.0,"37.9,-122.29"
910,Carmel Avenue,Albany,94706.0,"37.89,-122.29"
1639,El Cerrito Plaza,El Cerrito,94530.0,"37.9,-122.3"
1006,Solano Avenue,Albany,94706.0,"37.89,-122.3"
,Castle Trail,Albany,94710.0,"37.89,-122.33"
,Perimeter Trail,Berkeley,94720.0,"37.88,-122.34"
1338,Neilson Street,Berkeley,94702.0,"37.88,-122.29"
1400,McGee Avenue,Berkeley,94703.0,"37.88,-122.28"
35,Alamo Avenue,Berkeley,94708.0,"37.9,-122.27"
710,Wildcat Canyon Road,Berkeley,94708.0,"37.9,-122.26"
2047,Los Angeles Avenue,Berkeley,94707.0,"37.89,-122.27"
1800,San Ramon Avenue,Berkeley,94707.0,"37.9,-122.28"
935,Modoc Street,Berkeley,94707.0,"37.89,-122.28"
41,Hill Road,Berkeley,94708.0,"37.89,-122.25"
1119,Cragmont Avenue,Berkeley,94708.0,"37.89,-122.26"
1546,Le Roy Avenue,Berkeley,94708.0,"37.88,-122.26"
2036,Vine Street,Berkeley,94709.0,"37.88,-122.27"
901,Gilman Street,Berkeley,94710.0,"37.88,-122.3"
1802,Fifth Street,Berkeley,94710.0,"37.87,-122.3"
620,Bancroft Way,Berkeley,94710.0,"37.86,-122.3"
910,Folger Avenue,Berkeley,94710.0,"37.85,-122.29"
1545,Addison Street,Berkeley,94703.0,"37.87,-122.28"
1970,Curtis Street,Berkeley,94702.0,"37.87,-122.29"
2002,Center Street,Berkeley,94704.0,"37.87,-122.27"
15,Canyon Road,Berkeley,94704.0,"37.87,-122.25"
,,Berkeley,94720.0,"37.87,-122.26"
2637,Sacramento Street,Berkeley,94702.0,"37.86,-122.28"
2527,Tenth Street,Berkeley,94710.0,"37.86,-122.29"
2652,Milvia Street,Berkeley,94704.0,"37.86,-122.27"
2344,Ward Street,Berkeley,94705.0,"37.86,-122.26"
2805,Kelsey Street,Berkeley,94705.0,"37.86,-122.25"
36,Slater Lane,Berkeley,94705.0,"37.86,-122.24"
5885,Peladeau Street,Emeryville,94608.0,"37.84,-122.29"
1890,Powell Street,Emeryville,94608.0,"37.84,-122.3"
280,Scenic Avenue,Piedmont,94611.0,"37.83,-122.23"
5,Glen Alpine Road,Piedmont,94611.0,"37.82,-122.22"
155,Requa Road,Piedmont,94611.0,"37.82,-122.23"
1536,High Street,Alameda,94501.0,"37.76,-122.23"
1912,Oak Street,Alameda,94501.0,"37.77,-122.24"
2034,Lincoln Avenue,Alameda,94501.0,"37.77,-122.25"
1527,Buena Vista Avenue,Alameda,94501.0,"37.78,-122.26"
860,Atlantic Avenue,Alameda,94501.0,"37.78,-122.27"
2797,5th Street,Alameda,94501.0,"37.79,-122.28"
707,West Hornet Avenue,Alameda,94501.0,"37.77,-122.3"
1991,Gresham Drive,Alameda,94501.0,"37.78,-122.28"
2000,Glenview Street,Alameda,94501.0,"37.78,-122.29"
568,Queen's Road,Alameda,94501.0,"37.77,-122.28"
1232,Ballena Boulevard,Alameda,94501.0,"37.76,-122.29"
1211,Paru Street,Alameda,94501.0,"37.77,-122.26"
910,Centennial Avenue,Alameda,94501.0,"37.77,-122.27"
2622,Encinal Avenue,Alameda,94501.0,"37.76,-122.24"
3325,Washington Court,Alameda,94501.0,"37.75,-122.23"
3214,Ravens Cove Lane,Alameda,94501.0,"37.75,-122.24"
3411,Catalina Avenue,Alameda,94502.0,"37.73,-122.24"
901,Lagoon Way,Alameda,94501.0,"37.74,-122.25"
1660,South Loop Road,Alameda,94502.0,"37.72,-122.24"
217,Harbor Bay Parkway,Alameda,94502.0,"37.73,-122.27"
885,Cedar Street,Alameda,94501.0,"37.76,-122.25"
,,Alameda,,"37.74,-122.27"
903,Shore Line Drive,Alameda,94501.0,"37.75,-122.28"
12350,Cull Canyon Road,Castro Valley,94552.0,"37.77,-122.06"
16864,Columbia Drive,Castro Valley,94552.0,"37.73,-122.06"
5256,Katrina Court,Castro Valley,94546.0,"37.71,-122.06"
18425,Pepper Street,Castro Valley,94546.0,"37.71,-122.07"
5276,Camino Alta Mira,Castro Valley,94546.0,"37.72,-122.07"
17760,Sweetbriar Place,Castro Valley,94546.0,"37.72,-122.08"
4183,Seven Hills Road,Castro Valley,94546.0,"37.71,-122.08"
3629,Seven Hills Road,Castro Valley,94546.0,"37.71,-122.09"
17922,Lake Chabot Road,Castro Valley,94546.0,"37.72,-122.1"
15942,Cambrian Drive,San Leandro,94578.0,"37.71,-122.11"
16630,Rolando Avenue,San Leandro,94578.0,"37.7,-122.1"
,Interstate 238,Hayward,94541.0,"37.69,-122.1"
19786,Sprague Court,Castro Valley,94546.0,"37.7,-122.09"
2883,Eugene Terrace,Castro Valley,94546.0,"37.71,-122.1"
3444,Samson Way,Castro Valley,94546.0,"37.7,-122.08"
19949,Forest Avenue,Castro Valley,94546.0,"37.7,-122.07"
4434,Paradise Knolls,Castro Valley,94546.0,"37.7,-122.06"
21988,Idena Avenue,Castro Valley,94546.0,"37.69,-122.07"
21233,Orange Avenue,Castro Valley,94546.0,"37.69,-122.08"
22325,North 3rd Street,Hayward,94541.0,"37.68,-122.08"
21062,Gary Drive,Hayward,94546.0,"37.69,-122.09"
,Covington Drive,Oakland,94605.0,"37.74,-122.14"
985,Bridge Road,San Leandro,94577.0,"37.73,-122.14"
695,California 185,San Leandro,94577.0,"37.73,-122.16"
552,Pala Avenue,San Leandro,94577.0,"37.73,-122.15"
1042,Warden Avenue,San Leandro,94577.0,"37.72,-122.18"
2048,Williams Street,San Leandro,94577.0,"37.71,-122.18"
1750,Abram Court,San Leandro,94577.0,"37.71,-122.17"
2341,West Avenue 136th,San Leandro,94577.0,"37.7,-122.18"
2451,Polvorosa Avenue,San Leandro,94577.0,"37.71,-122.19"
1325,Pierce Avenue,San Leandro,94577.0,"37.72,-122.17"
600,Parrott Street,San Leandro,94577.0,"37.72,-122.16"
2482,Teagarden Street,San Leandro,94577.0,"37.71,-122.16"
1939,East 14th Street,San Leandro,94577.0,"37.72,-122.15"
2000,Lake Chabot Road,San Leandro,94577.0,"37.73,-122.13"
2542,Humboldt Drive,San Leandro,94577.0,"37.72,-122.13"
2035,Fairmont Drive,San Leandro,94578.0,"37.71,-122.12"
787,Fulton Avenue,San Leandro,94577.0,"37.72,-122.14"
14847,Lark Street,San Leandro,94578.0,"37.71,-122.13"
610,Aladdin Avenue,San Leandro,94577.0,"37.71,-122.15"
14290,Rose Drive,San Leandro,94578.0,"37.71,-122.14"
15135,Hesperian Boulevard,San Leandro,94578.0,"37.7,-122.13"
990,Arguello Drive,San Leandro,94578.0,"37.7,-122.15"
14610,Washington Avenue,San Leandro,94578.0,"37.7,-122.14"
190,College Street,San Lorenzo,94580.0,"37.69,-122.13"
14470,Birch Street,San Leandro,94579.0,"37.7,-122.16"
589,Beatrice Street,San Leandro,94579.0,"37.69,-122.14"
15058,Edgemoor Street,San Leandro,94579.0,"37.69,-122.15"
15042,Milford Street,San Leandro,94579.0,"37.69,-122.16"
2041,West Avenue 140th,San Leandro,94577.0,"37.7,-122.17"
154,Warbler Court,San Leandro,94579.0,"37.68,-122.16"
2136,Farallon Drive,San Leandro,94577.0,"37.69,-122.17"
,Bay Trail,San Leandro,94579.0,"37.68,-122.18"
15458,Farnsworth Street,San Leandro,94579.0,"37.68,-122.15"
15701,Lorenzo Avenue,San Lorenzo,94580.0,"37.68,-122.14"
511,Crespi Place,San Lorenzo,94580.0,"37.69,-122.12"
15950,East 14th Street,San Leandro,94578.0,"37.7,-122.12"
1734,163rd Avenue,San Leandro,94578.0,"37.7,-122.11"
16803,Clinton Avenue,San Leandro,94578.0,"37.69,-122.11"
25318,Gold Ridge Drive,Castro Valley,94552.0,"37.69,-122.03"
33803,Palomares Road,Castro Valley,94552.0,"37.64,-121.97"
,Meyers Ranch Trail,Hayward,94544.0,"37.63,-122.02"
29831,Clearbrook Circle,Hayward,94544.0,"37.63,-122.04"
29536,Dixon Street,Hayward,94544.0,"37.63,-122.05"
27044,Halifax Place,Hayward,94542.0,"37.66,-122.04"
2757,Gamble Court,Hayward,94542.0,"37.65,-122.04"
23830,Maud Avenue,Hayward,94541.0,"37.68,-122.05"
1711,B Street,Hayward,94541.0,"37.68,-122.07"
2207,Dexter Court,Hayward,94541.0,"37.68,-122.06"
22874,Main Street,Hayward,94541.0,"37.67,-122.08"
570,B Street,Hayward,94541.0,"37.67,-122.09"
21860,Main Street,Hayward,94541.0,"37.68,-122.09"
774,Blossom Way,Hayward,94541.0,"37.68,-122.1"
187,Medford Avenue,Hayward,94541.0,"37.68,-122.11"
207,Laurel Avenue,Hayward,94541.0,"37.67,-122.1"
139,Vía Bolsa,San Lorenzo,94580.0,"37.68,-122.12"
410,West Sunset Boulevard,Hayward,94541.0,"37.67,-122.11"
15894,Via Del Sol,San Lorenzo,94580.0,"37.68,-122.13"
1657,Keller Avenue,San Lorenzo,94580.0,"37.67,-122.14"
16067,Vía Harriet,San Lorenzo,94580.0,"37.67,-122.15"
1025,Via Honda,San Lorenzo,94580.0,"37.67,-122.13"
18890,Hesperian Boulevard,Hayward,94541.0,"37.67,-122.12"
119,West Winton Avenue,Hayward,94544.0,"37.66,-122.09"
1984,Nina Court,Hayward,94541.0,"37.67,-122.06"
24336,2nd Street,Hayward,94541.0,"37.67,-122.07"
3559,Star Ridge Road,Hayward,94542.0,"37.67,-122.04"
944,Central Boulevard,Hayward,94542.0,"37.66,-122.07"
24662,Joyce Street,Hayward,94544.0,"37.66,-122.08"
26023,Whitman Street,Hayward,94544.0,"37.65,-122.07"
106,Lund Avenue,Hayward,94544.0,"37.65,-122.08"
23742,Ida Lane,Hayward,94541.0,"37.66,-122.1"
25100,Santa Clara Street,Hayward,94544.0,"37.65,-122.09"
22699,Blackwood Avenue,Hayward,94541.0,"37.66,-122.11"
819,Poinciana Street,Hayward,94545.0,"37.65,-122.1"
1420,Cathy Way,Hayward,94545.0,"37.64,-122.1"
23144,Clawiter Road,Hayward,94545.0,"37.65,-122.12"
2451,Tennyson Road,Hayward,94545.0,"37.63,-122.1"
2847,Seadrift Circle,Hayward,94545.0,"37.61,-122.1"
20466,Corsair Boulevard,Hayward,94545.0,"37.66,-122.13"
1149,Buchanan Way,Hayward,94545.0,"37.65,-122.11"
2121,Depot Road,Hayward,94545.0,"37.64,-122.11"
24747,Clawiter Road,Hayward,94545.0,"37.64,-122.12"
2003,Bolero Avenue,Hayward,94545.0,"37.63,-122.09"
26501,Eldridge Avenue,Hayward,94544.0,"37.64,-122.09"
26718,Patrick Avenue,Hayward,94544.0,"37.64,-122.08"
27654,Seminole Way,Hayward,94544.0,"37.63,-122.08"
117,Shepherd Avenue,Hayward,94544.0,"37.64,-122.07"
28089,Harvey Avenue,Hayward,94544.0,"37.63,-122.07"
27760,East 11th Street,Hayward,94544.0,"37.64,-122.06"
26320,Mission Boulevard,Hayward,94544.0,"37.65,-122.06"
31568,Macdonald Way,Hayward,94544.0,"37.62,-122.03"
323,Rivercrest Lane,Hayward,94544.0,"37.62,-122.04"
32358,Utica Street,Hayward,94544.0,"37.61,-122.03"
1011,Whipple Road,Hayward,94544.0,"37.61,-122.04"
1826,Egret Lane,Hayward,94545.0,"37.62,-122.08"
28859,Venus Street,Hayward,94544.0,"37.63,-122.06"
31154,San Benito Street,Hayward,94544.0,"37.61,-122.05"
30049,Ahern Avenue,Union City,94587.0,"37.61,-122.08"
,South Fork Trail,Castro Valley,94552.0,"37.61,-121.99"
600,G Street,Union City,94587.0,"37.6,-122.02"
33100,Transit Avenue,Union City,94587.0,"37.6,-122.04"
2474,Aptos Court,Union City,94587.0,"37.6,-122.06"
4433,Bolivar Place,Union City,94587.0,"37.59,-122.08"
,,Union City,94587.0,"37.59,-122.07"
4739,Cabello Street,Union City,94587.0,"37.58,-122.08"
4544,Laura Way,Union City,94587.0,"37.58,-122.07"
2613,Central Court,Union City,94587.0,"37.59,-122.04"
402,Tropicana Way,Union City,94587.0,"37.59,-122.05"
33311,13th Street,Union City,94587.0,"37.6,-122.03"
27,Union Square,Union City,94587.0,"37.59,-122.02"
2313,Hartnell Street,Union City,94587.0,"37.59,-122.03"
710,Zwissig Way,Union City,94587.0,"37.59,-122.01"
2810,Zinnia Court,Union City,94587.0,"37.58,-122.02"
35600,Barnard Drive,Fremont,94536.0,"37.58,-122.01"
30461,Whipple Road,Union City,94587.0,"37.6,-122.09"
30530,Union City Boulevard,Union City,94587.0,"37.6,-122.08"
121,Overacker Terrace,Fremont,94536.0,"37.57,-121.97"
,Deer Gulch Loop Trail,Fremont,94536.0,"37.58,-121.96"
37296,Mission Boulevard,Fremont,94536.0,"37.58,-121.98"
36550,Niles Boulevard,Fremont,94536.0,"37.58,-121.99"
830,Vanda Way,Fremont,94536.0,"37.58,-122.0"
3108,Puttenham Way,Fremont,94536.0,"37.57,-122.01"
34138,Rowland Drive,Fremont,94555.0,"37.58,-122.04"
34608,Allegheny Court,Fremont,94555.0,"37.57,-122.04"
4919,Colusa Street,Union City,94587.0,"37.57,-122.07"
4288,Warbler Loop,Fremont,94555.0,"37.58,-122.06"
34170,Audrey Court,Fremont,94555.0,"37.57,-122.05"
668,Mission Court,Fremont,94539.0,"37.49,-121.93"
,Newark Slough Trail,Fremont,94555.0,"37.52,-122.07"
4266,La Cosa Avenue,Fremont,94536.0,"37.56,-122.02"
4618,Bianca Drive,Fremont,94536.0,"37.56,-122.03"
37120,Fremont Boulevard,Fremont,94536.0,"37.56,-122.01"
37536,Glenmoor Drive,Fremont,94536.0,"37.55,-122.01"
,,Fremont,94536.0,"37.55,-122.02"
38146,Ann Court,Fremont,94536.0,"37.56,-121.99"
,Unnamed Road,Fremont,94538.0,"37.55,-121.96"
944,Walnut Avenue,Fremont,94536.0,"37.56,-121.97"
3922,Mission View Drive,Fremont,94538.0,"37.54,-121.97"
2400,Stevenson Boulevard,Fremont,94538.0,"37.55,-121.97"
39723,Plumas Way,Fremont,94538.0,"37.54,-121.98"
38725,Lexington Street,Fremont,94536.0,"37.55,-121.99"
258,Castro Lane,Fremont,94539.0,"37.56,-121.94"
827,Lemos Lane,Fremont,94539.0,"37.55,-121.95"
42221,Camino Santa Barbara,Fremont,94539.0,"37.54,-121.93"
1157,Bedford Street,Fremont,94539.0,"37.54,-121.94"
42760,Caldas Court,Fremont,94539.0,"37.53,-121.94"
41072,Joyce Avenue,Fremont,94539.0,"37.54,-121.95"
40665,Wolcott Place,Fremont,94538.0,"37.54,-121.96"
41240,Trenouth Street,Fremont,94538.0,"37.53,-121.96"
41165,Ellen Street,Fremont,94538.0,"37.53,-121.97"
4770,Natalie Avenue,Fremont,94538.0,"37.53,-121.98"
39310,Logan Drive,Fremont,94538.0,"37.54,-121.99"
4814,Mildred Drive,Fremont,94536.0,"37.54,-122.0"
38268,Kimbro Street,Fremont,94536.0,"37.55,-122.0"
38097,Ballard Drive,Fremont,94536.0,"37.54,-122.01"
5813,Moores Avenue,Newark,94560.0,"37.53,-122.01"
39663,Iolani Court,Fremont,94538.0,"37.53,-121.99"
4848,Bryce Canyon Park Drive,Fremont,94538.0,"37.52,-121.97"
43079,Everglades Park Drive,Fremont,94538.0,"37.51,-121.97"
43030,Newport Drive,Fremont,94538.0,"37.52,-121.95"
4520,Auto Mall Parkway,Fremont,94538.0,"37.51,-121.96"
42698,Bellwood Court,Fremont,94538.0,"37.52,-121.96"
43367,Gallegos Avenue,Fremont,94539.0,"37.53,-121.93"
152,Anza Street,Fremont,94539.0,"37.53,-121.92"
4000,Piedmont Terrace,Fremont,94539.0,"37.49,-121.89"
673,Sammie Avenue,Fremont,94539.0,"37.49,-121.92"
47667,Gridley Court,Fremont,94539.0,"37.48,-121.92"
323,Whitney Place,Fremont,94539.0,"37.47,-121.92"
700,Rattan Court,Fremont,94539.0,"37.47,-121.91"
36297,Brighton Court,Newark,94560.0,"37.55,-122.03"
35725,Cedar Boulevard,Newark,94560.0,"37.55,-122.04"
36311,Christine Street,Newark,94560.0,"37.54,-122.04"
7001,Cabernet Avenue,Newark,94560.0,"37.54,-122.05"
6107,Jarvis Avenue,Newark,94560.0,"37.55,-122.05"
7375,Dairy Avenue,Newark,94560.0,"37.53,-122.04"
8536,Portside Way,Newark,94560.0,"37.5,-122.04"
7500,Gateway Boulevard,Newark,94560.0,"37.54,-122.06"
36825,Hafner Street,Newark,94560.0,"37.54,-122.03"
37400,Cedar Boulevard,Newark,94560.0,"37.54,-122.02"
37355,Cherry Street,Newark,94560.0,"37.53,-122.03"
6163,Robertson Avenue,Newark,94560.0,"37.53,-122.02"
39745,Eureka Drive,Newark,94560.0,"37.51,-122.0"
,Iron Horse Regional Trail,Dublin,94568.0,"37.72,-121.92"
6396,Sussex Court,Dublin,94568.0,"37.71,-121.91"
8256,Cardiff Court,Dublin,94568.0,"37.72,-121.93"
7557,Amador Valley Boulevard,Dublin,94568.0,"37.71,-121.93"
11865,Dublin Green Drive,Dublin,94568.0,"37.71,-121.94"
10894,Inspiration Circle,Dublin,94568.0,"37.71,-121.96"
3303,Sinbad Creek Trail,Pleasanton,94588.0,"37.64,-121.92"
,Shady Creek Trail,Pleasanton,94588.0,"37.66,-121.93"
7405,Stonedale Drive,Pleasanton,94588.0,"37.69,-121.92"
6801,Koll Center Parkway,Pleasanton,94566.0,"37.66,-121.9"
7705,Driftwood Way,Pleasanton,94588.0,"37.68,-121.92"
6501,Golden Gate Drive,Dublin,94568.0,"37.7,-121.93"
4775,Corwin Court,Pleasanton,94588.0,"37.69,-121.91"
4274,Echo Court,Pleasanton,94588.0,"37.68,-121.91"
2726,Curlew Court,Pleasanton,94566.0,"37.68,-121.89"
4666,Shearwater Road,Pleasanton,94566.0,"37.68,-121.88"
1346,Ridgewood Road,Pleasanton,94566.0,"37.67,-121.88"
5529,Corte Sonora,Pleasanton,94566.0,"37.67,-121.89"
6159,Corte Trancas,Pleasanton,94566.0,"37.67,-121.9"
4684,Harrison Street,Pleasanton,94566.0,"37.66,-121.88"
450,Pine Hill Lane,Pleasanton,94566.0,"37.66,-121.87"
,Road 8,Pleasanton,94566.0,"37.66,-121.89"
416,Matthew Court,Pleasanton,94566.0,"37.64,-121.88"
6527,Calaveras Road,Sunol,94586.0,"37.57,-121.87"
4059,Silver Street,Pleasanton,94566.0,"37.67,-121.87"
,El Charro Road,Pleasanton,94588.0,"37.68,-121.85"
3207,Sylvaner Court,Pleasanton,94566.0,"37.66,-121.85"
553,Rowell Lane,Pleasanton,94566.0,"37.66,-121.86"
914,Gray Fox Circle,Pleasanton,94566.0,"37.66,-121.84"
5165,Salerno Drive,Dublin,94568.0,"37.72,-121.85"
5292,Doolan Road,Livermore,94551.0,"37.73,-121.82"
,,Pleasanton,94588.0,"37.7,-121.86"
5673,Gibraltar Drive,Pleasanton,94588.0,"37.69,-121.89"
2951,Lerida Court,Livermore,94550.0,"37.65,-121.77"
,Unnamed Road,Livermore,94550.0,"37.61,-121.62"
,Unnamed Road,Discovery Bay,94514.0,"37.77,-121.61"
5874,Brisa Street,Livermore,94550.0,"37.7,-121.72"
5399,Hillflower Drive,Livermore,94551.0,"37.71,-121.73"
4152,Redwood Road,Livermore,94551.0,"37.71,-121.75"
4936,Livermore Avenue,Livermore,94551.0,"37.74,-121.77"
208,East Airway Boulevard,Livermore,94551.0,"37.7,-121.8"
220,Wright Brothers Avenue,Livermore,94551.0,"37.69,-121.8"
361,West Jack London Boulevard,Livermore,94551.0,"37.69,-121.82"
333,Michell Street,Livermore,94551.0,"37.69,-121.76"
275,South K Street,Livermore,94550.0,"37.68,-121.77"
1670,Spruce Street,Livermore,94551.0,"37.69,-121.78"
1043,Norfolk Road,Livermore,94551.0,"37.69,-121.79"
,,Livermore,94551.0,"37.7,-121.76"
3987,First Street,Livermore,94551.0,"37.69,-121.75"
3956,East Avenue,Livermore,94550.0,"37.68,-121.75"
3062,East Avenue,Livermore,94550.0,"37.68,-121.76"
5415,East Avenue,Livermore,94550.0,"37.68,-121.73"
1318,Railroad Avenue,Livermore,94550.0,"37.68,-121.78"
1821,De Vaca Way,Livermore,94550.0,"37.67,-121.77"
2750,Robertson Park Road,Livermore,94550.0,"37.67,-121.76"
1077,Aberdeen Avenue,Livermore,94550.0,"37.67,-121.78"
710,Del Mar Avenue,Livermore,94550.0,"37.67,-121.79"
1166,Dunsmuir Place,Livermore,94550.0,"37.66,-121.78"
1932,Pulsar Avenue,Livermore,94550.0,"37.66,-121.79"
196,Laramie Street,Markleeville,96120.0,"38.69,-119.78"
